time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
20.460685,-1.001316,-0.149433,-0.238950
20.490696,-1.427817,0.112411,-0.058074
20.520707,-0.889126,0.243476,0.120444
20.550699,-1.233463,-0.255838,-0.470892
20.590737,-1.356464,0.509012,0.041861
20.620748,-1.359511,0.642855,0.502676
20.650761,-1.510149,0.019097,-0.190699
20.700765,-1.952370,0.460029,0.131717
20.730765,-2.158202,0.344133,0.328198
20.760792,-2.187971,0.124461,0.176283
20.790814,-2.913172,0.298586,-0.218006
20.820826,-2.187327,0.144931,1.016782
20.860842,-2.311248,-0.286533,0.166414
20.900859,-1.867956,-0.136147,0.519584
20.930870,-1.569152,-0.148328,0.502691
20.970875,-1.569696,-0.207506,0.466503
21.000896,-2.254083,-0.355925,0.403409
21.030908,-1.728316,0.153121,0.616551
21.060919,-2.024634,-0.355305,0.008087
21.100935,-2.123774,-0.460633,-0.039704
21.120943,-2.348666,-0.363439,0.305323
21.150954,-2.226953,-0.139766,0.504210
21.200974,-1.808469,-0.222841,-0.365671
21.230985,-1.834103,-0.643532,-0.764826
21.250994,-1.979045,-0.565479,-0.540228
21.290982,-1.513633,0.107642,0.019369
21.321012,-1.518113,0.215977,0.118140
21.371040,-1.077585,0.027438,0.102406
21.401052,-0.945193,0.139972,0.320519
21.431063,-0.845874,0.067332,0.289516
